Time,RPM
8.168,2560.58346255815
8.169,2560.82398885222
8.17,2561.0645160065
8.171,2561.30504401909
8.172,2561.54557288814
8.173,2561.78610261177
8.174,2562.02663318811
8.175,2562.2671646153
8.176,2562.50769689146
8.177,2562.74823001472
8.178,2562.98876398322
8.179,2563.22929879508
8.18,2563.46983444843
8.181,2563.7103709414
8.182,2563.95090827212
8.183,2564.19144643873
8.184,2564.43198543935
8.185,2564.67252527211
8.186,2564.91306593514
8.187,2565.15360742658
8.188,2565.39414974454
8.189,2565.63469288717
8.19,2565.87523685259
8.191,2566.11578163893
8.192,2566.35632724432
8.193,2566.5968736669
8.194,2566.83742090478
8.195,2567.07796895611
8.196,2567.318517819
8.197,2567.5590674916
8.198,2567.79961797203
8.199,2568.04016925842
8.2,2568.2807213489
8.201,2568.5212742416
8.202,2568.76182793465
8.203,2569.00238242618
8.204,2569.24293771432
8.205,2569.4834937972
8.206,2569.72405067295
8.207,2569.9646083397
8.208,2570.20516679558
8.209,2570.44572603872
8.21,2570.68628606725
8.211,2570.9268468793
8.212,2571.167408473
8.213,2571.40797084648
8.214,2571.64853399787
8.215,2571.88909792529
8.216,2572.12966262689
8.217,2572.37022810079
8.218,2572.61079434511
8.219,2572.85136135799
8.22,2573.09192913756
8.221,2573.33249768196
8.222,2573.57306698929
8.223,2573.81363705771
8.224,2574.05420788534
8.225,2574.2947794703
8.226,2574.53535181073
8.227,2574.77592490476
8.228,2575.01649875052
8.229,2575.25707334614
8.23,2575.49764868974
8.231,2575.73822477946
8.232,2575.97880161343
8.233,2576.21937918978
8.234,2576.45995750663
8.235,2576.70053656212
8.236,2576.94111635438
8.237,2577.18169688154
8.238,2577.42227814172
8.239,2577.66286013306
8.24,2577.90344285369
8.241,2578.14402630173
8.242,2578.38461047532
8.243,2578.62519537259
8.244,2578.86578099166
8.245,2579.10636733067
8.246,2579.34695438775
8.247,2579.58754216102
8.248,2579.82813064862
8.249,2580.06871984868
8.25,2580.30930975932
8.251,2580.54990037867
8.252,2580.79049170488
8.253,2581.03108373605
8.254,2581.27167647034
8.255,2581.51226990586
8.256,2581.75286404074
8.257,2581.99345887312
8.258,2582.23405440113
8.259,2582.47465062289
8.26,2582.71524753653
8.261,2582.95584514019
8.262,2583.196443432
8.263,2583.43704241008
8.264,2583.67764207256
8.265,2583.91824241758
8.266,2584.15884344326
8.267,2584.39944514774
8.268,2584.64004752914
8.269,2584.8806505856
8.27,2585.12125431524
8.271,2585.3618587162
8.272,2585.60246378659
8.273,2585.84306952457
8.274,2586.08367592824
8.275,2586.32428299575
